date,avg_temp,max_temp,min_temp,rainfall,avg_wind,max_wind,humidity,sunshine
2024-04-01,12.2,19.0,5.5,,1.8,4.3,32.0,12.6
2024-04-02,15.4,23.9,7.0,,2.0,4.5,37.5,12.7
2024-04-03,16.6,19.7,13.9,0.0,1.8,3.4,55.9,12.7
2024-04-04,15.5,20.3,12.4,,2.9,5.2,52.1,12.8
2024-04-05,14.0,18.8,10.2,,2.5,5.2,51.3,12.8
2024-04-06,12.7,18.9,8.0,,1.9,5.1,48.6,12.8
2024-04-07,14.8,23.4,7.7,,2.0,5.9,33.4,12.9
2024-04-08,16.2,22.8,11.0,,2.1,5.2,46.5,12.9
2024-04-09,15.3,20.8,10.6,,3.5,7.9,32.4,12.9
2024-04-10,13.8,18.5,10.2,,2.6,5.2,62.6,13.0
2024-04-11,15.5,21.1,11.7,0.0,1.8,3.4,61.0,13.0
2024-04-12,17.2,24.2,12.0,,2.1,4.3,59.6,13.1
2024-04-13,19.1,27.3,11.2,,1.9,4.4,52.4,13.1
2024-04-14,20.8,29.4,13.6,,1.9,5.3,47.1,13.1
2024-04-15,16.0,20.0,11.7,17.1,2.5,5.1,77.4,13.2
2024-04-16,13.3,17.9,11.5,2.3,2.5,4.1,82.6,13.2
2024-04-17,15.0,21.8,9.7,,2.2,4.1,65.3,13.3
2024-04-18,17.3,24.9,10.7,,2.2,4.9,53.3,13.3
2024-04-19,17.6,24.3,11.5,,2.1,4.4,51.8,13.3
2024-04-20,14.9,17.2,13.0,4.8,3.0,5.8,77.3,13.4
2024-04-21,17.2,21.7,13.3,,3.8,5.5,65.5,13.4
2024-04-22,18.8,24.1,15.0,,3.1,5.2,49.4,13.4
2024-04-23,17.3,24.2,13.2,0.0,3.6,5.4,55.0,13.5
2024-04-24,13.2,16.5,11.0,9.0,3.0,5.4,80.1,13.5
2024-04-25,14.4,20.8,10.3,,1.9,3.3,75.6,13.6
2024-04-26,17.8,26.0,11.4,,1.9,5.1,61.1,13.6
2024-04-27,18.2,26.2,11.5,,1.9,4.5,56.4,13.6
2024-04-28,20.7,28.9,13.0,,1.6,3.4,53.5,13.7
2024-04-29,20.9,26.1,16.9,,3.0,5.5,48.0,13.7
2024-04-30,18.6,22.5,16.0,,2.2,4.4,62.5,13.7
